web-scraper-order,web-scraper-start-url,rooms_area_price_raw,address_raw,price_raw,description_raw,text_raw,rooms,area,price
1662023749-847,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=22,"2,5 Zimmer, 60 m², CHF 2900.—","Jenatschstrasse 5, 8002 Zürich, ZH",CHF 2900.—,«Sanierte Stadtwohnung nähe Enge»,"2,5 Zimmer, 60 m², CHF 2900.—Jenatschstrasse 5, 8002 Zürich, ZH«Sanierte Stadtwohnung nähe Enge»Die Liegenschaft Jenatschstrasse 3 und 5 liegt mitten in Zürich und befindet sich an ruhiger Lage im lebendigen, äusserst gut erschlossenen Kreis 2. Die Wohnräume präsentieren sich in einem spannenden Mix zwischen nostalgischen Altbau- und hochwertigen Neubau Elementen, was eine repräsentative und einzigartige Wohnatmosphäre schafft.Diese 2.5-Zimmerwohnung verfügt zudem über folgende Eigenschaften:Wohn- und Schlafbereiche mit FischgratparkettOffene Küche mit viel Stauraum und modernster Ausstattung (Glaskeramikherd, Geschirrspüler, Backofen etcAnbieter kontaktierenKontaktieren",2.5,60,2900
1662023771-1009,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=15,"3,5 Zimmer, 72 m², CHF 3300.—","Dörflistrasse  112, 8050 Zürich, ZH",CHF 3300.—,"«3.5 Zr im Oerlikon, z.F z. Bahnhof, voll möbliert, flex. Sofortbuchung»","3,5 Zimmer, 72 m², CHF 3300.—Dörflistrasse  112, 8050 Zürich, ZH«3.5 Zr im Oerlikon, z.F z. Bahnhof, voll möbliert, flex. Sofortbuchung»Genießen Sie einen optimierten, problemlosen und schnellen Buchungsprozess mit individuellen Preisen basierend auf Ihrer Aufenthaltsdauer und erhalten Sie Zugang zu den besten Wohnungen von Zürich! und das alles im Rahmen flexibler Mietverträge!Erleben Sie mit Blueground Zürich ein neues Lebensgefühl!Schließe jetzt einen Mietvertrag für 12+ monate zum günstigen Tarif von 3300 CHF.Richtpreise/Mietdauer:6-monatiger Mietdauer: CHF 3500 */p.M.3-monatiger Mietvertrag: CHF 3990 */p.M.2-monatiger Mietvertrag: CHF 4170 */p.M.1-monatiger Mietvertrag: CH",3.5,72,3300
1662023755-912,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=20,"3 Zimmer, 68 m², CHF 2500.—","Austrasse 27, 8045 Zürich, ZH",CHF 2500.—,«Grosszüge 3-Zimmerwohnung in Zürich-Wiedikon»,"3 Zimmer, 68 m², CHF 2500.—Austrasse 27, 8045 Zürich, ZH«Grosszüge 3-Zimmerwohnung in Zürich-Wiedikon»Suchen Sie nach einer urbanen Wohnung mit Charme eines Altbaus? Dann zögern Sie nicht und lassen sich selbst von dieser 3-Zimmerwohnung überzeugen.Die Wohnung ist mit einem schönen Parkettboden in den Wohnräumen und mit einem hellgrauen Plattenbelag in den Nasszellen ausgestattet. Die Wandschränke im Schlafzimmer sowie ein separates Kellerabteil bieten zusätzlichen Stauraum. Der Wasch- und Trocknungsraum ist zur Mitbenützung im Untergeschoss vorhanden.In wenigen Gehminuten erreichen Sie das Einkaufszentrum Sihlcity sowie viele weitere Shops undAnbieter kontaktierenKontaktieren",3.0,68,2500
1662023755-891,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=20,"3,5 Zimmer, CHF 1260.—","Wehntalerstrasse 86, 8157 Dielsdorf, ZH",CHF 1260.—,«3.5-Zimmerwohnung mit Sitzplatz»,"3,5 Zimmer, CHF 1260.—Wehntalerstrasse 86, 8157 Dielsdorf, ZH«3.5-Zimmerwohnung mit Sitzplatz»NeuVirtuelle Tour",3.5,,1260
1662023742-812,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=24,"2,5 Zimmer, 121 m², CHF 4022.—","Pfingstweidstrasse 98, 8005 Zürich, ZH",CHF 4022.—,«Living it UP! exklusives Wohnen im 22.OG»,"2,5 Zimmer, 121 m², CHF 4022.—Pfingstweidstrasse 98, 8005 Zürich, ZH«Living it UP! exklusives Wohnen im 22.OG»Priviligiertes Wohnen im 22. Stockwerk mit atemberaubender AussichtPer 01. November 2022 vermieten wir diese exklusive 2.5-Zimmerwohnung im Hochhaus Hard Turm Park (Pfingstweidstrasse 98, Zürich).Populäres Wohnen im Hochhaus:- Grundriss ca. 121 m²- grosse und helle Wohnfläche- moderne, weisse Küche- Reduit 4.8 m²- separates WC sowie helles Bad mit Badewanne, Dusche, WC und Doppellavabo mit Aussicht- elegant, dunkler Parkettboden im Eingang, Wohnbereich und Schlafzimmer- grosszügige Loggia mit toller AussichtKonditionen:Nettomietzins pro Monat CAnbieter kontaktierenKontaktieren",2.5,121,4022
1662023749-860,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=22,"1 Zimmer, 30 m², CHF 1300.—","Riethofstrasse 10c, 8152 Glattbrugg, ZH",CHF 1300.—,«Moderne 1-Zimmerwohnung mit hochwertigem Ausbau»,"1 Zimmer, 30 m², CHF 1300.—Riethofstrasse 10c, 8152 Glattbrugg, ZH«Moderne 1-Zimmerwohnung mit hochwertigem Ausbau»Per 16.09.2022 vermieten wir eine 1-Zimmerwohnung in Glattbrugg. Die Wohnung besticht durch folgende Merkmale:modernes Badezimmer mit Badewannemoderne Küche mit GlaskeramikEinbauschränke ParkettbodenKellerabteil im UGDer öffentliche Verkehr sowie Einkaufsmöglichkeiten sind bequem zu Fuss zu erreichen.Haben Sie Interesse an diesem Mietobjekt? Wir freuen uns auf Ihre Kontaktaufnahme.Anbieter kontaktierenKontaktieren",1.0,30,1300
1662023810-1329,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=2,"4 Zimmer, 80 m², CHF 1524.—","Ifangstrasse 33, 8604 Volketswil, ZH",CHF 1524.—,«Schöne 4-Zimmerwohnung zu vermieten»,"top4 Zimmer, 80 m², CHF 1524.—Ifangstrasse 33, 8604 Volketswil, ZH«Schöne 4-Zimmerwohnung zu vermieten»LageVolketswil ist dank der guten Infrastruktur und einem interessanten Vereinsleben der ideale Ort für Bildung, Wirtschaft, Kultur und Freizeit. Speziell ist der Griespark mit dem dazugehörigen Sport- und Kulturzentrum Gries zu erwähnen. Naturfreunde finden ihre Ruhe in den wichtigen Naherholungsgebieten. Die Aussichtspunkte auf der Huzlen oder dem Homberg laden dazu ein! Die Einkaufszentren Volkiland, Zentrum sowie das ganze Industriegebiet sind mit dem dichten Netz des Busbetriebs problemlos erreichbar. Auch alle Gemeindegebiete sowie die BaAnbieter kontaktierenKontaktieren",4.0,80,1524
1662023761-950,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=18,"3 Zimmer, 67 m², CHF 2295.—","Albisstrasse 170, 8038 Zürich, ZH",CHF 2295.—,"«""Charmante 3-Zimmer-Wohnung zu vermieten""»","3 Zimmer, 67 m², CHF 2295.—Albisstrasse 170, 8038 Zürich, ZH«""Charmante 3-Zimmer-Wohnung zu vermieten""»Ab 1. September oder Nach Vereinbarung vermieten wir eine helle, heimelige Wohnung im EG mit grossem Balkon mit Blick in den Garten.  Die Wohnung bietet Ihnen folgende Ausstattung:  BadezimmerWC / BadewanneKücheKeramikkochfeld, Dampfabzug, Backofen, KühlschrankBodenbelägeIm Wohn- und Schlafzimmer ParkettBadezimmer mit Plattenboden Zudem verfügt die Wohnung über grosse Einbauschränke.  Die Bushaltestelle liegt in unmittelbarer Nähe, ein Garageneinstellplatz kann für CHF 180.00 pro Monat dazu gemietet werden.  Sind Sie interes",3.0,67,2295
1662023804-1276,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=4,"3,5 Zimmer, 80 m², CHF 2187.—","Giebeleichstr. 46, 8152 Glattbrugg, ZH",CHF 2187.—,«moderne 3 1/2 Zr.-Wohnung in sehr gepflegtem Haus»,"top3,5 Zimmer, 80 m², CHF 2187.—Giebeleichstr. 46, 8152 Glattbrugg, ZH«moderne 3 1/2 Zr.-Wohnung in sehr gepflegtem Haus»Ideal gelegenes Haus. Ruhiges und gepflegtes Wohngebiet. 2 Min. bis Einkauf bei COOP. Bushaltestelle direkt gegenüber dem Haus.  1 Min. bis Bus nach Oerlikon u. Flughafen / 3 Min. bis S7 nach ZH u. W'thur. / 4 Min. bis Glattalbahn, / 7 Min. bis S5  Es handelt sich um eine sehr gepflegte Liegenschaft. Das gesamte Gebäude wurde innen und aussen vor kurzer Zeit total renoviert. Sehr moderne Küche mit Granitabdeckungen, Geschirrspühler, riesiger Kühlschrank mit Tiefkühlschubladen, Parkett u. Plattenböden etc. Im Hause befinden insgesamt 12 Wohnunge",3.5,80,2187
1662023764-981,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=17,"2,5 Zimmer, 77 m², Preis auf Anfrage","Birchstrasse 185, 8050 Zürich, ZH",Preis auf Anfrage,«Lifestyle mit kühler Eleganz»,"2,5 Zimmer, 77 m², Preis auf AnfrageBirchstrasse 185, 8050 Zürich, ZH«Lifestyle mit kühler Eleganz»Wir vermieten per 01.11.2022 oder nach Vereinbarung eine moderne 2.5 Zimmer-Wohnung mit folgendem Ausbaustandard:- Wohnbereich/Zimmer mit Schieferplatten ausgestattet- Küche mit GS/GK- Bad mit Badewanne - eigener Waschturm in Wohnung (Reduit)- offener Wohn-/Essenbereich - grosszügiger Gartensitzplatz- Kellerabteil vorhanden- Tiefgaragenplatz verfügbar für Fr. 170.-/Monat- origineller und moderner Grundriss- zentrale Lage mit vielen Einkaufsmöglichkeiten- ideale Verkehrsverbindungen- Oerlikoner- und Wahlenpark in unmittelbarer Nähe- Sportanlage Anbieter kontaktierenKontaktieren",2.5,77,
1662023761-957,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=18,"3,5 Zimmer, 92 m², CHF 1964.—","Oberlandstr. 75, 8610 Uster, ZH",CHF 1964.—,«MIETEN OHNE DEPOT - Wohnung an zentraler Lage!»,"3,5 Zimmer, 92 m², CHF 1964.—Oberlandstr. 75, 8610 Uster, ZH«MIETEN OHNE DEPOT - Wohnung an zentraler Lage!»Wir vermieten per 01.11.2022 oder nach Vereinbarung diese grosszügige 3½-Zimmer-Wohnung mit 92m² im Kern von Uster:- Wohnzimmer und Korridor mit Parkett- Eltern- und Kinderzimmer mit Laminat- Küche mit Glaskeramik und Geschirrspüler- Zwei Nasszellen- Sonniger Balkon- Wandschrank - Lift- Keller- Gepflegte Überbauung mit hervorragender ÖV-Anbindung- Einstellplatz für CHF 125.00 pro Monat vorhandenDie Bilder zeigen den Standard und können allenfalls abweichen.Anbieter kontaktierenKontaktieren",3.5,92,1964
1662023789-1160,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=9,"3,5 Zimmer, 82 m², CHF 2260.—","Am Giessenpark 15, 8600 Dübendorf, ZH",CHF 2260.—,«Wohnen im aufstrebenden Giessenpark»,"3,5 Zimmer, 82 m², CHF 2260.—Am Giessenpark 15, 8600 Dübendorf, ZH«Wohnen im aufstrebenden Giessenpark»Wir vermieten per 1. Augusti 2022 diese grosszügige 3.5 Zimmerwohnung in unserer neuen Überbauung Giessenhof in Dübendorf.Die helle Wohnung ist ausgestattet mit:- Eichenparkett im Wohn- und Schlafbereich- Entrée mit Garderobenschränken- Küchengeräte der Marke V-Zug- Nasszelle mit WC, Dusche, Lavabo- Nasszelle mit WC, Lavabo, Badewanne- Réduit mit Waschturm- Grosszügiger Balkon Ein Einstellplatz kann für monatlich CHF 160.00 dazugemietet werden.Wir freuen uns über Ihre Kontaktaufnahme!*Die Fotos zeigen den Standard.Anbieter kontaktierenKontaktieren",3.5,82,2260
1662023774-1055,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=14,"3,5 Zimmer, 76 m², CHF 4890.—","Uhlandstrasse 6, 8037 Zürich, ZH",CHF 4890.—,"«Luxus Wipkingen 3.5 Zim.+W/T, +Lag.,2 Min. zum Markt, über Blueground»","3,5 Zimmer, 76 m², CHF 4890.—Uhlandstrasse 6, 8037 Zürich, ZH«Luxus Wipkingen 3.5 Zim.+W/T, +Lag.,2 Min. zum Markt, über Blueground»Genießen Sie einen optimierten, problemlosen und schnellen Buchungsprozess mit individuellen Preisen basierend auf Ihrer Aufenthaltsdauer und erhalten Sie Zugang zu den besten Wohnungen von Zürich! und das alles im Rahmen flexibler Mietverträge!Erleben Sie mit Blueground Zürich ein neues Lebensgefühl!Schließe jetzt einen Mietvertrag für 12+ monate zum günstigen Tarif von 4890 CHF.Richtpreise/Mietdauer:6-monatiger Mietdauer: CHF 5180 */p.M.3-monatiger Mietvertrag: CHF 5290 */p.M.2-monatiger Mietvertrag: CHF 5400 */p.M.1-monatiger Mietvertrag: CHNeu",3.5,76,4890
1662023720-630,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=31,"4,5 Zimmer, 102 m², CHF 2625.—","Allmendstrasse 27, 8180 Bülach, ZH",CHF 2625.—,"«Erstbezug ""Auf der Allmend"" in Bülach. Grosszügiges & modernes Wohnen an zentraler Lage»","4,5 Zimmer, 102 m², CHF 2625.—Allmendstrasse 27, 8180 Bülach, ZH«Erstbezug ""Auf der Allmend"" in Bülach. Grosszügiges & modernes Wohnen an zentraler Lage»Modernes Wohnen im Neubau ""Auf der Allmend"" in 8180 BülachWollten Sie schon immer die/der Erste sein? Hier ist es möglich, denn per 1. Oktober 2023 vermieten wir 22 moderne und attraktive Wohnungen (1.5- bis 4.5-Zimmerwohnungen) in der neu errichteten Liegenschaft ""Auf der Allmend"" an der Allmendstrasse 27/29.Hier am Beispiel dieser lichtdurchfluteten und grosszügigen 4.5- Zimmerwohnung im im 2. OG.Mit dem top-modernen und nachhaltigen Ausbaustandard der Wohnung und dem stilvollen Erscheinungsbild der Liegenschaft verwirklichen Sie Ihren (Wohn-Anbieter kontaktierenKontaktieren",4.5,102,2625
1662023742-799,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=24,"4,5 Zimmer, 135 m², CHF 4490.—","8048 Zürich, ZH",CHF 4490.—,«Ein Schmuckstück der besonderen Art»,"4,5 Zimmer, 135 m², CHF 4490.—8048 Zürich, ZH«Ein Schmuckstück der besonderen Art»Gute Neuigkeiten - ergreifen Sie die Möglichkeit als Erstmieter in diesem Schmuckstück einzuziehen. Dieser Wohntraum ist schlicht und ergreifend das Mass aller Dinge.Schon beim Betreten dieses Bijous sieht und spürt man den qualitativ hochstehenden Standard. Beim Eingang befindet sich ein geräumiger Einbauschrank, welcher viel Verstauungsmöglichkeiten für Jacken und Schuhen bietet. Zwei grossflächige Schlafzimmer, eines davon mit Balkonzugang, sowie ein kleineres Zimmer, bieten Ihnen viel Platz, um sich gemütlich einzurichten. Die exklusive KücAnbieter kontaktierenKontaktieren",4.5,135,4490
1662023755-890,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=20,"4,5 Zimmer, 81 m², CHF 3990.—","Seefeldstr. 168, 8008 Zürich, ZH",CHF 3990.—,«Willkommen im Herzen von Zürich»,"4,5 Zimmer, 81 m², CHF 3990.—Seefeldstr. 168, 8008 Zürich, ZH«Willkommen im Herzen von Zürich»Wir sind die neue sanierte Liegenschaft im Herzen von Zürich. Die Wohnung mit einem grosszügigem und praktischen Grundriss hat den optimalen Mix zwischen urbanem geschäftigen Stadtleben und Natur mit dem Zürichsee auf der anderen Seite.Die neue Wohnung überzeugt durch folgende Eigenschaften:natürliche gut abgestimmte Farben zwischen dem hochwertigen Parkettboden, Küche und anderen Oberflächengrosse, moderne Küche mit Induktionsherd, Geschirrspüler, Keramikabdeckung und genügend Stauraum für Ihre Küchenutensiliengrosse Dusche mit dunklem PlattenAnbieter kontaktierenKontaktieren",4.5,81,3990
1662023813-1347,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=1,"2,5 Zimmer, 72 m², CHF 2270.—","Rotweg 43, 8820 Wädenswil, ZH",CHF 2270.—,«Moderne 2.5-Zimmer-Wohnung an optimaler Lage»,"premium2,5 Zimmer, 72 m², CHF 2270.—Rotweg 43, 8820 Wädenswil, ZH«Moderne 2.5-Zimmer-Wohnung an optimaler Lage»Wohnen in einem ruhigen aber doch zentralen QuartierIm Jahr 2020 wurden am Rotweg 43 in Wädenswil 20 Mietwohnungen an schöner Hanglage gebaut. Wir vermieten nun eine der attraktiven, modern ausgestatteten Wohnungen.Ihr Nutzwertein SchlafzimmerWohn- und Esszimmer sowie KücheBadezimmerGartenbereich mit gedecktem Sitzplatzgrosszügige geschosshohe Fensterelektrische Rafflamelleneigenes KellerabteilWaschmaschine und Tumbler in der WohnungZudem für Sie nutzbarBriefkasten für PaketeEnergiemanagementFotovoltaik-AnlageAnbieter kontaktierenKontaktieren",2.5,72,2270
1662023789-1161,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=9,"3,5 Zimmer, 79 m², CHF 1710.—","Nelkenstr. 9, 8330 Pfäffikon ZH, ZH",CHF 1710.—,«Mieten ohne Kaution - Schöne Gartenwohnung in grüner Umgebung»,"3,5 Zimmer, 79 m², CHF 1710.—Nelkenstr. 9, 8330 Pfäffikon ZH, ZH«Mieten ohne Kaution - Schöne Gartenwohnung in grüner Umgebung»- Ganze Wohnung mit Parkett- Küche und Nasszellen Plattenboden- Küche mit Geschirrspüler und Glaskeramikherd- Bad mit Doppellavabo- Separates WC - Wandschränke im Korridor- Sitzplatz- Keller- Spielplatz- Einstellplätze à CHF 130.-/Monat- Abstellplätze à CHF 60.-/Monat- Bushaltestelle in unmittelbarer Nähe- Keine Katzen erlaubt im Erdgeschoss* Fotos zeigen den Standard*Anbieter kontaktierenKontaktieren",3.5,79,1710
1662023780-1085,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=12,"5,5 Zimmer, 111 m², CHF 2350.—","Kirchrain 1, 8824 Schönenberg ZH, ZH",CHF 2350.—,«Zentral wohnen im ländlichen Schönenberg»,"5,5 Zimmer, 111 m², CHF 2350.—Kirchrain 1, 8824 Schönenberg ZH, ZH«Zentral wohnen im ländlichen Schönenberg»In einer hübschen älteren Liegenschaft vermieten wir eine schöne, grosszügige 5.5 Zimmer-Maisonette-Wohnung mit Dachschrägen im oberen Geschoss und viel Charme.Die Wohnung verfügt über geräumige Wohn- und Schlafräume mit teilweise schönen Stuckelementen an den Zimmerdecken.Die beiden Wohnebenen sind über eine offen wirkende interne Treppe verbunden. Vom kleinen Balkon schweift der Blick in die Weite über die sanft gewellte Landschaft. Von einigen Zimmern im Dachgeschoss sieht man bis zum Zürisee.Ein Aussenparkplatz kann für CHF 50.- pro Monat gAnbieter kontaktierenKontaktieren",5.5,111,2350
1662023798-1248,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=6,"2 Zimmer, 100 m², CHF 2220.—","Überlandstr. 26, 8953 Dietikon, ZH",CHF 2220.—,«Hier endet Ihre Wohnungssuche!»,"2 Zimmer, 100 m², CHF 2220.—Überlandstr. 26, 8953 Dietikon, ZH«Hier endet Ihre Wohnungssuche!»Die Westhöfe bieten an zentraler Lage direkt am Rapidplatz insgesamt 66 vielfältige und hochwertig ausgestattete Loftwohnungen. Einige Highlights zur Wohnung:- Minergiewohnung- Grosser Eingangsbereich- Küche mit GK, GS und Steamer- Grosser Kühlschrank mit Tiefkühlfächern- Räucher-Parkettboden in gesamter Wohnung- Bad/WC inkl. Waschturm (WM/WT)- Loggia- Grosses Kellerabteil inkl. Stromanschluss- Innert 20 Minuten in Zürich oder Baden- Einstellplatz kann dazu gemietet werden (CHF 160./Mt.)(Bitte beachten Sie, dass die Bilder im Inserat BeispielbiNeuVirtuelle TourAnbieter kontaktierenKontaktieren",2.0,100,2220
1662023739-774,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=25,"3,5 Zimmer, 87 m², CHF 2220.—","General Wille-Str. 108, 8706 Meilen, ZH",CHF 2220.—,"«Ihre neue, grosszügige Wohnung mit Seesicht wartet auf Sie!»","3,5 Zimmer, 87 m², CHF 2220.—General Wille-Str. 108, 8706 Meilen, ZH«Ihre neue, grosszügige Wohnung mit Seesicht wartet auf Sie!»Sie suchen das spezielle? Dann sind Sie hier genau richtig! Mit Blick auf den schönen Zürichsee lässt sich jeder Sonnenunter- und aufgang doppelt geniessen!Nur wenige Gehminuten entfernt erreichen Sie zudem das Strandbad und diverse Restaurants. Direkt in der Nähe befindet sich der Bahnhof Herrliberg-Feldmeilen und der Coop als Einkaufsmöglichkeit. - Helle, grosse Räume- Grosses Reduit- Bad/WC- Dusche/WC- Wandschränke- Sonniger Balkon- LiftWir freuen uns über Ihre Bewerbung.Fotos zeigen den Standard.Anbieter kontaktierenKontaktieren",3.5,87,2220
1662023720-648,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=31,"4 Zimmer, CHF 1820.—","Weidstrasse 2, 8909 Zwillikon, ZH",CHF 1820.—,«Wohnung an zentraler Lage zu vermieten»,"4 Zimmer, CHF 1820.—Weidstrasse 2, 8909 Zwillikon, ZH«Wohnung an zentraler Lage zu vermieten»Wir vermieten per sofort oder nach Vereinbarung eine Wohnung, teilweise mit leichten Dachschrägen, an zentraler Lage in Zwillikon.Die Wohnung verfügt über folgende Ausstattung:- Schlaf- und Wohnbereich mit Parkett- Nasszelle und Küche mit Bodenplatten- Küche mit Tageslicht sowie mit Glaskeramik und Geschirrspüler (mit viel Verstauungsraum in den Küchenschränken)- Neu sanierte Nasszellen: Bad/WC sowie ein zusätzliches Gäste-WC (ohne Tageslicht)- Kellerabteil sowie EstrichabteilDie Bushaltestelle sowie die Einkaufsmöglichkeit (Volg) kann innert K",4.0,,1820
1662023717-612,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=32,"3,5 Zimmer, 71 m², CHF 1900.—","Goldbühlstrasse 5, 8620 Wetzikon ZH, ZH",CHF 1900.—,«RUHIGE LAGE MIT BERGPANORAMA»,"3,5 Zimmer, 71 m², CHF 1900.—Goldbühlstrasse 5, 8620 Wetzikon ZH, ZH«RUHIGE LAGE MIT BERGPANORAMA»Kompakt und heimelig - zwei der vielen Attribute, die diese Wohnung ausmacht. An einer zentralen und dennoch ruhigen Lage liegt die Wohnung in Gehdistanz zu Einkaufsmöglichkeiten und öffentliche Verkehrsmittel. Durch notwendige Renovationen welche erst kürzlich abgeschlossen wurden, erstrahlt die Wohnung wieder in frischem Glanz. Der Balkon mit fantastischer Weitsicht wird Sie überzeugen. Kommen Sie vorbei!Dieses properti-Angebot zeichnet sich durch folgende Vorteile aus:Ruhige und zentrale LageRenoviertLichtdurchflutetGrosszügiger Balkon mit W",3.5,71,1900
1662023783-1110,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=11,"2 Zimmer, 43 m², CHF 1265.—","Grosswiesenstrasse 22, 8051 Zürich, ZH",CHF 1265.—,"«Nähe Einkaufsmöglichkeiten und öffentlichen Verkehr, befristet bis 30.»","2 Zimmer, 43 m², CHF 1265.—Grosswiesenstrasse 22, 8051 Zürich, ZH«Nähe Einkaufsmöglichkeiten und öffentlichen Verkehr, befristet bis 30.»In einer freundlichen Umgebung mit viel Grün, öffentliche Verkehrsmittel und Einkaufsmöglichkeiten in wenigen Gehminuten zu erreichen, vermieten wir diese hübsche Wohnung, welche wie folgt ausgebaut ist: Küche mit GlaskeramikherdHelle RäumeNeuwertiges BadezimmerKorridor mit WandschrankKeller- und EstrichabteilKein BalkonWir freuen uns auf Ihre Kontaktaufnahme.Bitte beachten Sie, dass die Wohnung befristet bis zum 30.09.2024 vermietet wird.(Ebenfalls gilt zu beachten, dass die Fotos im Inserat von typenänhlichen Wohnungen stammen können.)Anbieter kontaktierenKontaktieren",2.0,43,1265
1662023767-1001,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=16,"4,5 Zimmer, 165 m², CHF 2679.—","Nelkenstr. 2, 8330 Pfäffikon ZH, ZH",CHF 2679.—,«MIETEN OHNE KAUTION - Schöne grosszügige Dachwohnung mit Cheminée!»,"4,5 Zimmer, 165 m², CHF 2679.—Nelkenstr. 2, 8330 Pfäffikon ZH, ZH«MIETEN OHNE KAUTION - Schöne grosszügige Dachwohnung mit Cheminée!»Die Wohnung bietet Ihnen folgendes:- Wohnzimmer und Korridor mit Parkett- Geräumige Zimmer mit Teppich- Grosses Wohnzimmer mit Cheminée- Geschlossene Küche mit Geschirrspüler / Glaskeramikkochherd- Erstes Bad mit Doppellavabo, Badewanne, WC und Dusche- Zweites Bad mit Lavabo, WC und Dusche- Eigene Waschmaschine - Grosser Balkon 19 m2- Wandschränke im Korridor- Viele Grünflächen- Spielplatz- Einstellplatz à CHF 130.-/Monat*Die Fotos zeigen den Standard*Wir freuen uns auf Ihre Kontaktaufnahme!Anbieter kontaktierenKontaktieren",4.5,165,2679
1662023695-449,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=39,"3,5 Zimmer, 70 m², CHF 1570.—","Meierwiesenstr. 39, 8107 Buchs ZH, ZH",CHF 1570.—,«Geräumige Wohnung an sonniger Lage»,"3,5 Zimmer, 70 m², CHF 1570.—Meierwiesenstr. 39, 8107 Buchs ZH, ZH«Geräumige Wohnung an sonniger Lage»Die Wohnung befindet sich in einer gepflegten und ruhigen Liegenschaft, in der Nähe von Einkaufsmöglichkeiten und öffentlichen Verkehrsmitteln.Wohnungsausstattung:grosszügiges Wohn- und Esszimmer mit Parkettboden grosser, gut besonnter Balkon mit Reduit zwei Schlafzimmer ebenfalls mit Parkettböden offene Küche mit Geschirrspüler Bad/WC mit BadewanneBeachten Sie bitte, dass es bei den aufgeschalteten Bildern, um Musterbilder der Liegenschaft handelt.Der nächste Besichtigungstermin findet statt am:Freitag, 02.09.2022 um 14.15 UhrSie können bei un",3.5,70,1570
1662023771-1015,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=15,"3,5 Zimmer, 76 m², CHF 1520.—","Heiniweg 16, 8404 Winterthur, ZH",CHF 1520.—,"«Wohnung mit Charme! ""Mieten ohne Kaution""»","3,5 Zimmer, 76 m², CHF 1520.—Heiniweg 16, 8404 Winterthur, ZH«Wohnung mit Charme! ""Mieten ohne Kaution""»An zentraler Lage in Oberwinterthur vermieten wir diese 3.5 Zimmerwohnung: - Parkett im Wohnzimmer- Linoleum in den Schlafzimmern- Moderne Küche mit Glaskeramikherd, Geschirrspüler und kleinem Balkon- Schönes, helles Badezimmer mit Badewanne- Grosszügiger Balkon beim Wohnzimmer- Praktisches Reduit- Kellerabteil- Ruhige und kinderfreundliche Lage in schönem Wohnquartier- Nähe Schulen und Einkaufsmöglichkeiten - Nähe S-Bahn-Anschluss (Bahnhof 'Wallrüti')Die Bilder entsprechen dem Standard.Eine Besichtigung lohnt sich. Wir freuen uns auf Sie!Anbieter kontaktierenKontaktieren",3.5,76,1520
